Nome_da_Empresa,Status_do_Foguete,Custo_da_Missao,Status_da_Missao,Pais,Estado_Regiao,Ano,Mes,Dia,Hora,Modelo_Foguete,Carga_Util,Pais_Mapa,Status_da_Missao_Num,Status_do_Foguete_Num,Alvo_Sucesso,Empresa_Cod,Pais_Cod,Probabilidade_Sucesso,Probabilidade_Falha,Previsao_IA_Status
ISRO,StatusActive,31.0,Success,India,Satish Dhawan Space Centre,2008,10.0,22.0,0.0,PSLV-XL,Chandrayaan-1,India,3,1,1,23.0,4.0,0.9623661564659436,0.037633843534056674,1
Northrop,StatusActive,40.0,Success,USA,Marshall Islands,2008,10.0,19.0,17.0,Pegasus XL,IBEX,United States,3,1,1,36.0,16.0,0.7134959429113334,0.28650405708866683,1
Kosmotras,StatusRetired,29.0,Success,Russia,Yasny Cosmodrome,2008,10.0,1.0,6.0,Dnepr,THEOS 1,Russia,3,0,1,28.0,13.0,0.8662271210606203,0.13377287893937984,1
SpaceX,StatusRetired,7.0,Success,USA,Marshall Islands,2008,9.0,28.0,23.0,Falcon 1,RatSat,United States,3,0,1,46.0,16.0,0.6484743933497212,0.35152560665027915,1
CASC,StatusActive,30.8,Success,China,Jiuquan Satellite Launch Center,2008,9.0,28.0,13.0,Long March 2F/G,Shenzhou 7,China,3,1,1,7.0,2.0,0.8834553813382416,0.11654461866175851,1
Sea Launch,StatusActive,41.8,Success,Pacific Ocean,Kiritimati Launch Area,2008,9.0,24.0,9.0,Zenit-3 SL,Galaxy 19,International Waters,3,1,1,45.0,5.0,0.8712037649079272,0.1287962350920732,1
ULA,StatusRetired,123.0,Success,USA,California,2008,9.0,6.0,18.0,Delta II 7420-10C,GeoEye-1,United States,3,0,1,48.0,16.0,0.8901554535762589,0.10984454642374122,1
CASC,StatusActive,30.8,Success,China,Taiyuan Satellite Launch Center,2008,9.0,6.0,3.0,Long March 2C/SMA,Huanjing-1A & 1B,China,3,1,1,7.0,2.0,0.9531448375574746,0.04685516244252545,1
Kosmotras,StatusRetired,29.0,Success,Kazakhstan,Baikonur Cosmodrome,2008,8.0,29.0,7.0,Dnepr,RapidEye 1 to 5,Kazakhstan,3,0,1,28.0,9.0,0.7432992485187762,0.25670075148122434,1
ISA,StatusRetired,41.8,Failure,Iran,Semnan Space Center,2008,1.0,,11.0,Safir-1,Unknown Payload,Iran,0,0,0,21.0,6.0,0.2760183205667612,0.7239816794332385,0
Arianespace,StatusActive,200.0,Success,France,French Guiana,2008,8.0,14.0,20.0,Ariane 5 ECA,Superbird-7 & AMC-21,France,3,1,1,3.0,3.0,0.9508846627607102,0.04911533723928974,1
SpaceX,StatusRetired,7.0,Failure,USA,Marshall Islands,2008,8.0,3.0,3.0,Falcon 1,Flight 3,United States,0,0,0,46.0,16.0,0.4417120414467395,0.5582879585532605,0
VKS RF,StatusRetired,41.8,Success,Russia,Plesetsk Cosmodrome,2008,7.0,22.0,2.0,Cosmos-3M (11K65M),SAR-Lupe 5,Russia,3,0,1,52.0,13.0,0.8146021966035929,0.1853978033964069,1
Sea Launch,StatusActive,41.8,Success,Pacific Ocean,Kiritimati Launch Area,2008,7.0,16.0,5.0,Zenit-3 SL,EchoStar XI,International Waters,3,1,1,45.0,5.0,0.888470807965439,0.11152919203456113,1
Arianespace,StatusActive,200.0,Success,France,French Guiana,2008,7.0,7.0,21.0,Ariane 5 ECA,ProtoStar-1 & Badr-6,France,3,1,1,3.0,3.0,0.9453190987470431,0.05468090125295699,1
ULA,StatusRetired,123.0,Success,USA,California,2008,6.0,20.0,7.0,Delta II 7320-10C,Jason-2,United States,3,0,1,48.0,16.0,0.9098827470668579,0.09011725293314218,1
