Tipo_Combustivel,Ano,Pais_Lancamento,Nome_Satellites_Carga,Dia,Probabilidade_Falha_IA,Status_do_Foguete,Idade_da_Empresa,Nome_da_Empresa,Capacidade_Maxima_LEO_KG,Foguete_Reutilizavel,Peso_Real_da_Carga_KG,Status_da_Missao,Previsao_IA_Status,Mes,Regiao_Lancamento,Tipo_de_Missao,Probabilidade_Sucesso_IA,Hora,Custo_da_Missao,Setor_da_Empresa,Orbita_Destino,Modelo_Foguete,Latitude,Longitude
Não Informado,1997,Kazakhstan,PAS-22,24,0.6605189255920595,StatusRetired,5.0,ILS,0.0,0,0.0,Partial Failure,0,12,Baikonur Cosmodrome,Não Informado,0.3394810744079407,23.0,109.0,Civil,Não Informado,Proton K/Block DM-3,45.92,63.34
Não Informado,1997,Russia,Earlybird 1,24,0.1793129978518566,StatusActive,-3.0,MITT,0.0,0,0.0,Success,1,12,Svobodny Cosmodrome,Não Informado,0.8206870021481432,13.0,109.0,Não Informado,Não Informado,Start-1,51.88,128.33
Lox/Lh2,1997,Usa,Orbcomm A1-A8,23,0.3467029155924955,StatusActive,-3.0,Northrop,200.0,0,0.0,Success,1,12,Virginia,Não Informado,0.6532970844075046,19.0,40.0,Não Informado,Não Informado,Pegasus XL/HAPS,37.83,-75.48
Não Informado,1997,France,Intelsat 804,22,0.0188808451447528,StatusRetired,17.0,Arianespace,0.0,0,0.0,Success,1,12,French Guiana,Não Informado,0.981119154855247,0.0,200.0,Commercial,Não Informado,Ariane 42L,5.24,-52.77
Não Informado,1997,Usa,MS-6,20,0.0186613214693461,StatusRetired,-9.0,Boeing,0.0,0,0.0,Success,1,12,California,Não Informado,0.9813386785306538,13.0,164.0,Commercial,Não Informado,Delta II 7920-10C,34.63,-120.61
Não Informado,1997,France,"Sirius-2, Cakrawarta-1",12,0.3612445581894954,StatusRetired,17.0,Arianespace,0.0,0,0.0,Success,1,12,French Guiana,Não Informado,0.638755441810505,21.0,200.0,Commercial,Não Informado,Ariane 44L,5.24,-52.77
Não Informado,1997,Kazakhstan,Cosmos 2347,9,0.1550674800859387,StatusRetired,5.0,VKS RF,0.0,0,0.0,Success,1,12,Baikonur Cosmodrome,Não Informado,0.8449325199140613,7.0,41.8,Civil,Não Informado,Tsyklon-2,45.92,63.34
Não Informado,1997,Usa,Galaxy 8i,8,0.1289769449240475,StatusRetired,5.0,ILS,0.0,0,0.0,Success,1,12,Florida,Não Informado,0.8710230550759521,23.0,109.0,Civil,Não Informado,Atlas IIAS,28.56,-80.58
Lox/Rp-1,1997,China,Iridium 42 & 44,8,0.0665113388894391,StatusActive,41.0,CASC,1746.0,0,0.0,Success,1,12,Taiyuan Satellite Launch Center,Não Informado,0.933488661110561,7.0,30.8,Commercial,Não Informado,Long March 2C,38.84,111.6
Não Informado,1997,France,"JCSAT-5, Equator S",2,0.3511618942579195,StatusRetired,17.0,Arianespace,0.0,0,0.0,Success,1,12,French Guiana,Não Informado,0.6488381057420808,22.0,200.0,Commercial,Não Informado,Ariane 44P,5.24,-52.77
N2O4/Udmh,1997,Japan,TRMM & Orihime/Hikoboshi,27,0.4683729873063387,StatusRetired,-6.0,MHI,2721.0,0,1049.0,Success,1,11,Tanegashima Space Center,Rideshare,0.5316270126936614,21.0,90.0,Civil,Sso,H-II,30.4,130.97
Não Informado,1997,Usa,STS-87,19,0.0743301037391443,StatusRetired,39.0,NASA,0.0,0,0.0,Success,1,11,Florida,Não Informado,0.9256698962608554,19.0,450.0,Civil,Não Informado,Space Shuttle Columbia,28.56,-80.58
Não Informado,1997,Usa,MS-5,9,0.1635820064602282,StatusRetired,-9.0,Boeing,0.0,0,0.0,Success,1,11,California,Não Informado,0.8364179935397716,1.0,164.0,Commercial,Não Informado,Delta II 7920-10C,34.63,-120.61
Não Informado,1997,Usa,NROL-4 (Trumpet),8,0.0513608838143929,StatusRetired,-9.0,Lockheed,0.0,0,0.0,Success,1,11,Florida,Não Informado,0.9486391161856071,2.0,35.0,Commercial,Não Informado,Titan IV(401)A,28.56,-80.58
Não Informado,1997,Usa,USA-134 (GPS IIA-19),6,0.0202390667526488,StatusRetired,-9.0,Boeing,0.0,0,0.0,Success,1,11,Florida,Não Informado,0.9797609332473508,0.0,164.0,Commercial,Não Informado,Delta II 7925,28.56,-80.58
Lox/Lh2,1997,Brazil,SCD-2A,1,0.8884153821787044,StatusActive,3.0,AEB,45.0,0,0.0,Failure,0,1,Maranh?Œo,Não Informado,0.1115846178212954,11.0,109.0,Civil,Não Informado,VLS-1,-2.31,-44.36
Não Informado,1997,France,"MaqSat-H, TEAMSAT, MaqSat-B, YES",30,0.8641437403759924,StatusRetired,22.0,ESA,0.0,0,0.0,Partial Failure,0,10,French Guiana,Não Informado,0.1358562596240075,13.0,37.0,Civil,Não Informado,Ariane 5 G,5.24,-52.77
Não Informado,1997,Usa,DSCS IIIB-13,25,0.0463401283984171,StatusRetired,-9.0,Lockheed,0.0,0,0.0,Success,1,10,Florida,Não Informado,0.953659871601583,0.0,35.0,Commercial,Não Informado,Atlas IIA,28.56,-80.58
Não Informado,1997,Usa,NROL-3 (Lacrosse),24,0.0708599316025434,StatusRetired,-9.0,Lockheed,0.0,0,0.0,Success,1,10,California,Não Informado,0.9291400683974564,2.0,35.0,Commercial,Não Informado,Titan IV(403)A,34.63,-120.61
Lox/Lh2,1997,Usa,STEP-4,22,0.2463769659653771,StatusActive,-3.0,Northrop,200.0,0,0.0,Success,1,10,Virginia,Não Informado,0.7536230340346232,13.0,40.0,Não Informado,Não Informado,Pegasus XL,37.83,-75.48
Lox/Rp-1,1997,China,Apstar 2R,16,0.295757269791601,StatusActive,41.0,CASC,5216.0,0,0.0,Success,1,10,Xichang Satellite Launch Center,Não Informado,0.704242730208399,19.0,30.8,Commercial,Não Informado,Long March 3B,28.24,102.02
Não Informado,1997,Usa,Cassini???Huygens,15,0.376015541580889,StatusRetired,-9.0,Lockheed,0.0,0,0.0,Success,1,10,Florida,Não Informado,0.6239844584191111,8.0,35.0,Commercial,Não Informado,Titan IV(401)B,28.56,-80.58
Não Informado,1997,Usa,Echostar 3,5,0.1969841839917977,StatusRetired,5.0,ILS,0.0,0,0.0,Success,1,10,Florida,Não Informado,0.8030158160082022,21.0,109.0,Civil,Não Informado,Atlas IIAS,28.56,-80.58
Não Informado,1997,India,IRS-1D,29,0.8052025422033897,StatusRetired,28.0,ISRO,0.0,0,0.0,Partial Failure,0,9,Satish Dhawan Space Centre,Não Informado,0.1947974577966101,10.0,25.0,Civil,Não Informado,PSLV-G,13.73,80.23
Não Informado,1997,Usa,MS-4,27,0.2172242067473349,StatusRetired,-9.0,Boeing,0.0,0,0.0,Success,1,9,California,Não Informado,0.7827757932526651,1.0,164.0,Commercial,Não Informado,Delta II 7920-10C,34.63,-120.61
Não Informado,1997,Usa,STS-86,25,0.0570008675147891,StatusRetired,39.0,NASA,0.0,0,0.0,Success,1,9,Florida,Não Informado,0.9429991324852104,14.0,450.0,Civil,Não Informado,Space Shuttle Atlantis,28.56,-80.58
Não Informado,1997,Russia,Molniya-1T n†­166,24,0.3256007465501755,StatusRetired,5.0,VKS RF,0.0,0,0.0,Success,1,9,Plesetsk Cosmodrome,Não Informado,0.6743992534498244,21.0,41.8,Civil,Não Informado,Molniya-M /Block ML,62.93,40.57
Não Informado,1997,France,Intelsat 803,23,0.1199512976755667,StatusRetired,17.0,Arianespace,0.0,0,0.0,Success,1,9,French Guiana,Não Informado,0.8800487023244333,23.0,200.0,Commercial,Não Informado,Ariane 44LP,5.24,-52.77
Lox/Rp-1,1997,Russia,Cosmos 2346 & FAISAT-2V,23,0.4188128550678224,StatusRetired,5.0,VKS RF,680.0,0,0.0,Success,1,9,Plesetsk Cosmodrome,Não Informado,0.5811871449321775,16.0,41.8,Civil,Não Informado,Cosmos-3M (11K65M),62.93,40.57
Não Informado,1997,Usa,GE-3,4,0.2544957133401386,StatusRetired,5.0,ILS,0.0,0,0.0,Success,1,9,Florida,Não Informado,0.7455042866598613,12.0,109.0,Civil,Não Informado,Atlas IIAS,28.56,-80.58
Não Informado,1997,France,"Hot Bird 3, Meteosat 7",2,0.2328309069843784,StatusRetired,17.0,Arianespace,0.0,0,0.0,Success,1,9,French Guiana,Não Informado,0.767169093015622,22.0,200.0,Commercial,Não Informado,Ariane 44LP,5.24,-52.77
Lox/Rp-1,1997,China,Iridium mass simulator A&B,1,0.1450070088554952,StatusActive,41.0,CASC,1746.0,0,0.0,Success,1,9,Taiyuan Satellite Launch Center,Não Informado,0.854992991144505,14.0,30.8,Commercial,Não Informado,Long March 2C,38.84,111.6
Lox/Lh2,1997,Usa,FORTE,29,0.3102209045731819,StatusActive,-3.0,Northrop,200.0,0,0.0,Success,1,8,California,Não Informado,0.6897790954268181,15.0,40.0,Não Informado,Não Informado,Pegasus XL,34.63,-120.61
Não Informado,1997,Usa,Advanced Composition Explorer,25,0.0361004110176132,StatusRetired,-9.0,Boeing,0.0,0,0.0,Success,1,8,Florida,Não Informado,0.9638995889823864,14.0,164.0,Commercial,Não Informado,Delta II 7920-8,28.56,-80.58
Não Informado,1997,Usa,Lewis,23,0.1766196710839562,StatusRetired,-9.0,Lockheed,0.0,0,0.0,Success,1,8,California,Não Informado,0.8233803289160436,6.0,35.0,Commercial,Não Informado,Athena I,34.63,-120.61
Não Informado,1997,Usa,MS-3,21,0.0980335994593802,StatusRetired,-9.0,Boeing,0.0,0,0.0,Success,1,8,California,Não Informado,0.9019664005406198,0.0,164.0,Commercial,Não Informado,Delta II 7920-10C,34.63,-120.61
Lox/Rp-1,1997,China,Agila-2,19,0.2750994264169888,StatusActive,41.0,CASC,5216.0,0,0.0,Success,1,8,Xichang Satellite Launch Center,Não Informado,0.7249005735830111,17.0,30.8,Commercial,Não Informado,Long March 3B,28.24,102.02
Não Informado,1997,France,Panamsat-6,8,0.108594840247814,StatusRetired,17.0,Arianespace,0.0,0,0.0,Success,1,8,French Guiana,Não Informado,0.8914051597521859,6.0,200.0,Commercial,Não Informado,Ariane 44P,5.24,-52.77
Não Informado,1997,Usa,STS-85,7,0.0586839391688908,StatusRetired,39.0,NASA,0.0,0,0.0,Success,1,8,Florida,Não Informado,0.9413160608311087,14.0,450.0,Civil,Não Informado,Space Shuttle Discovery,28.56,-80.58
Lox/Lh2,1997,Gran Canaria,OrbView-2,1,0.4432041979574302,StatusActive,-3.0,Northrop,200.0,0,0.0,Success,1,8,Base Aerea De Gando,Não Informado,0.5567958020425696,20.0,40.0,Não Informado,Não Informado,Pegasus XL,27.93,-15.38
