Data,Lancamentos_Reais,Previsao_IA,Previsao_Minima,Previsao_Maxima
1971-11-01,11.0,7.525845456859511,4.258757080453628,10.625238606675365
1971-12-01,16.0,9.484857572544279,6.176016626448701,12.544915587569383
1972-01-01,7.0,8.228472702280468,5.057089135744363,11.523477441264808
1972-02-01,6.0,6.752198130801868,3.54510165292272,10.053872427383618
1972-03-01,12.0,8.080097355304364,4.9158323958772945,11.315846483838342
1972-04-01,8.0,7.283997893005994,4.1029836406372,10.367417223930092
1972-05-01,6.0,6.911998309173763,3.6283282817876685,10.255208145409517
1972-06-01,7.0,8.193316362437237,4.864647219000045,11.45710079190183
1972-07-01,10.0,8.029220351024652,4.76869191496714,11.449821885690843
1972-08-01,9.0,7.914963613886677,4.633576915976208,11.138657714294759
1972-09-01,7.0,7.6518352592022785,4.4369046542580275,10.847191457043499
1972-10-01,11.0,8.398612779844873,5.161941444572921,11.55282958033531
1972-11-01,6.0,6.981412282062968,3.8497379700660628,10.150079486174514
1972-12-01,10.0,8.528069294123828,5.370463952673837,11.818524130866532
1973-01-01,8.0,8.364582249220831,5.260484918404206,11.539610744709803
1973-02-01,4.0,7.6959712740854815,4.37344643375231,11.155864176852495
1973-03-01,6.0,7.779504952270259,4.743099420222473,10.95358153951874
1973-04-01,8.0,7.650832146461354,4.229716200246192,10.970782716556336
1973-05-01,12.0,7.087298878386339,3.9095238956877423,10.44586010814045
1973-06-01,9.0,8.16950055267867,5.036864871669228,11.354555726133976
1973-07-01,5.0,7.733213423856697,4.6667585102572025,10.64968562830324
1973-08-01,9.0,7.7607889771063014,4.468099122693577,11.008587484118808
1973-09-01,7.0,7.697656941012804,4.236627061869699,10.667739982993956
1973-10-01,13.0,8.190952840847526,4.889526167060514,11.543929728806084
1973-11-01,12.0,7.115575295590071,4.069441872460986,10.429247308378283
1973-12-01,10.0,8.808058110901111,5.415368943335975,11.911542621907278
1974-01-01,5.0,8.28157598644141,5.323088178284577,11.54353446101957
1974-02-01,7.0,7.331454155283464,4.102629122161824,10.452877551104992
1974-03-01,6.0,7.4833646227372785,4.405513576779282,10.689658503360407
1974-04-01,10.0,8.010263830509118,4.681198156589928,11.171719782304653
1974-05-01,11.0,7.232654668025919,4.21455134838496,10.474267969123458
1974-06-01,9.0,8.103374237214885,4.849121597024264,11.231402106495114
1974-07-01,11.0,7.393028849347499,4.265547948241445,10.411503237851184
1974-08-01,8.0,7.5610307080717565,4.3218103250923345,10.91453325859471
1974-09-01,4.0,7.687425781122968,4.437534303804035,10.776541599707487
1974-10-01,10.0,7.920698754111632,4.701816682404095,10.763840724716788
1974-11-01,8.0,7.181492195170998,3.9428063732217664,10.293146972345761
1974-12-01,9.0,8.998951929147673,5.655469461015837,12.332830989390372
1975-01-01,7.0,8.09506755360259,4.942619106971335,11.190116717239158
1975-02-01,9.0,6.862652865810734,3.515008427296787,10.103775336686189
1975-03-01,6.0,7.107077817497196,3.887532579367148,10.172562626808052
1975-04-01,15.0,8.293988967239468,5.192381562708961,11.229813100221463
1975-05-01,10.0,7.296339223839094,4.104653762684757,10.545313551475795
1975-06-01,10.0,7.960592312311403,4.7529412043696055,11.0610756271576
1975-07-01,11.0,6.99117121893302,3.8608634730728806,10.226262307855446
1975-08-01,5.0,7.31506632917567,4.417531104870716,10.595106090364533
1975-09-01,16.0,7.637329090251458,4.154360056827518,10.716315211260017
1975-10-01,4.0,7.6206262333223505,4.2694894315055025,11.117972025941011
1975-11-01,9.0,7.228580943125962,4.1473175242020055,10.629794816428577
1975-12-01,11.0,9.166512725007012,6.009806072295928,12.40853766490477
1976-01-01,13.0,7.888344843145592,4.7866490370708155,11.119143695643542
1976-02-01,8.0,6.390287260069604,3.1784967372246893,9.486535845881788
1976-03-01,11.0,7.710223568500661,4.1631789889003885,11.034827227576903
1976-04-01,6.0,6.9056120235056255,3.6692509132790767,10.005525747197243
1976-05-01,9.0,6.525374940289375,3.3923435781320985,9.722773330138386
1976-06-01,8.0,7.798180910855897,4.514325666243017,10.917399086656118
1976-07-01,15.0,7.625847400059404,4.263871614355449,10.561608345554342
1976-08-01,7.0,7.503078580224373,4.274751271153332,10.68178848786064
1976-09-01,8.0,7.231438142843417,4.054790575900345,10.562461345205186
1976-10-01,9.0,7.969978164101964,4.774667067479454,11.157268623431396
1976-11-01,6.0,6.544265583623429,3.14854862953085,9.576272656164303
1976-12-01,13.0,8.082685096300084,4.7826982365028865,11.34041295967128
1977-01-01,9.0,7.910685968700148,4.701285558709768,11.045567433842088
1977-02-01,10.0,7.233562910868306,4.0320883375849,10.294850044884408
1977-03-01,6.0,7.3094082562943266,3.7064633633979964,10.436815067712628
1977-04-01,7.0,7.172223367788697,4.012541835958679,10.472412610824088
1977-05-01,11.0,6.600452600329656,3.424864541048957,9.855331383301468
1977-06-01,13.0,7.6741421919248625,4.486147235369196,10.63650363666747
1977-07-01,12.0,7.229617563719084,4.083844858485654,10.487909257767221
1977-08-01,9.0,7.2486810342715975,4.08757824923097,10.352047353197483
1977-09-01,14.0,7.1770369154815885,3.9506175057191313,10.290555130716914
1977-10-01,7.0,7.662095315931808,4.602598490022798,11.033092435158085
1977-11-01,2.0,6.578205687977704,3.2700025917102282,9.917435974876671
1977-12-01,14.0,8.262451003905227,5.063807405355295,11.489487130718041
1978-01-01,14.0,7.727456796748314,4.549391972255854,11.165186593148862
1978-02-01,9.0,6.7688228828936685,3.4561333054447982,9.860314533809461
1978-03-01,11.0,6.920733348905419,3.7958456652912638,10.15412315844322
1978-04-01,4.0,7.447632555081218,4.070158208476786,10.528129354071469
1978-05-01,10.0,6.670023391052991,3.331533925224711,9.905840743550606
1978-06-01,11.0,7.540742958645266,4.280345310641337,10.668701771781
1978-07-01,2.0,6.8303975692326695,3.524744480566915,10.067971252352342
1978-08-01,4.0,6.998399426360426,4.089637418996301,10.096492989858762
1978-09-01,4.0,7.12479449781545,3.8222812650098827,10.275402269769177
1978-10-01,9.0,7.3580674692592325,4.208984145840528,10.290968038117315
1978-11-01,6.0,6.6188609087217944,3.439220249181825,9.717838407159928
1978-12-01,13.0,8.43632064115376,5.418524927620392,11.611690466441715
1979-01-01,6.0,7.53243626401224,4.255501784789563,10.71673923830765
1979-02-01,5.0,6.300021574623738,3.3623222009626375,9.268410370810077
1979-03-01,4.0,6.54444652486838,3.3122150681567066,9.656445079722289
1979-04-01,6.0,7.731357673013685,4.431257626365926,10.8683582046531
1979-05-01,3.0,6.733707928068843,3.3665570104034463,9.938076937374055
1979-06-01,5.0,7.397961014944741,4.40360797172856,10.40973392006973
1979-07-01,5.0,6.428539920021194,3.2241109013584186,9.498893814070279
1979-08-01,3.0,6.752435028666975,3.760821661250578,10.22326765140228
1979-09-01,2.0,7.074697788146652,3.9147161915771873,10.07591402946829
1979-10-01,6.0,7.0579949296727875,3.8553361078451447,10.332173147866987
1979-11-01,2.0,6.665949637879825,3.6460087632041454,9.766622356135729
1979-12-01,2.0,8.60388141821601,5.581233687574139,12.120130968033925
1980-01-01,9.0,7.325713534757991,4.1055540082968,10.440034197592963
1980-02-01,6.0,5.8276559500860605,2.763812916697654,8.85689155851055
1980-03-01,4.0,7.1475922596196915,4.041222660348985,10.513534693849257
1980-04-01,6.0,6.342980715803194,3.270322645652318,9.552064561124025
1980-05-01,4.0,5.962743633727502,2.7189528301728254,9.086311663406642
1980-06-01,6.0,7.235549605472913,4.028896665058527,10.393486862663218
1980-07-01,6.0,7.063216095816998,4.003520032962723,10.162807473363143
1980-08-01,1.0,6.940447277160104,3.798997833284425,10.086543569574257
1980-09-01,1.0,6.668806840958292,3.607233736921452,9.800509429873278
1980-10-01,3.0,7.407346863357194,3.9140427997588776,10.532517753574778
1980-11-01,4.0,5.981634284057669,2.788500857356007,9.30780842189887
1980-12-01,5.0,7.520053797874713,4.215602917147967,10.265466298176522
1981-01-01,11.0,7.348054671453664,4.245358632286984,10.716071347184393
1981-02-01,7.0,6.67093161480046,3.3585340535460833,9.684104268042878
1981-03-01,8.0,6.746776961290687,3.5239820509426885,10.047741167696621
1981-04-01,3.0,6.60959207396438,3.3366827815718123,9.863848864725709
